implementation,dataset,n_neighbours,weights,distance_metric,dataset_load_time_sec,cv_time_sec,fit_time_sec,test_time_sec,fit_ram_mb,cv_macro_f1_mean,Column1,cv_macro_recall_mean,Column2,cv_macro_sensitivity_mean,Column3,cv_macro_roc_auc_mean,Column4,cv_cross_entropy_mean,Column5,cv_brier_mean,Column6,cv_ece_mean,Column7,test_macro_f1,test_macro_recall,test_macro_sensitivity,test_macro_roc_auc,test_cross_entropy,test_brier,test_ece
sklearn,iris,11,distance,manhattan,0.101630211,0.023118019,0,0.004674435,0,0.94967009,,0.95,,0.95,,0.995833333,,0.117044054,,0.068941697,,0.065965274,,0.966583124,0.966666667,0.966666667,0.996666667,0.11245607,0.066532766,0.054077124
sklearn,iris,13,uniform,euclidean,0.101630211,0.026231766,0,0.00459671,0,0.949934641,,0.95,,0.95,,0.993229167,,0.165221328,,0.098126233,,0.090384615,,0.966583124,0.966666667,0.966666667,0.996666667,0.128197313,0.071005917,0.066666667
sklearn,iris,13,uniform,manhattan,0.101630211,0.02441597,0.000996828,0.004602671,0,0.957970744,,0.958333333,,0.958333333,,0.997395833,,0.140521871,,0.080670611,,0.078205128,,0.966583124,0.966666667,0.966666667,0.991666667,0.131606608,0.0765286,0.061538462
sklearn,iris,13,distance,euclidean,0.101630211,0.01828742,0,0.002996445,0,0.958235294,,0.958333333,,0.958333333,,0.99375,,0.142767526,,0.082725522,,0.082455666,,1,1,1,1,0.114537959,0.062326048,0.092580412
sklearn,iris,13,distance,manhattan,0.101630211,0.018386364,0.000995636,0.003014326,0,0.957970744,,0.958333333,,0.958333333,,0.995833333,,0.122820646,,0.070212607,,0.078559106,,0.966583124,0.966666667,0.966666667,0.993333333,0.115760336,0.06672905,0.053114378
sklearn,iris,15,uniform,euclidean,0.101630211,0.024786234,0,0.007010221,0,0.92443822,,0.925,,0.925,,0.991145833,,0.172588593,,0.103185185,,0.065,,0.966583124,0.966666667,0.966666667,1,0.132649217,0.068444444,0.073333333
sklearn,iris,15,uniform,manhattan,0.101630211,0.031731844,0,0.004013538,0,0.94940554,,0.95,,0.95,,0.995833333,,0.149062372,,0.087333333,,0.081666667,,0.966583124,0.966666667,0.966666667,0.99,0.142147189,0.083851852,0.086666667
sklearn,iris,15,distance,euclidean,0.101630211,0.018039227,0,0.003000736,0,0.958235294,,0.958333333,,0.958333333,,0.992708333,,0.146860654,,0.085398135,,0.088259603,,1,1,1,1,0.118535846,0.060627237,0.097641202
sklearn,iris,15,distance,manhattan,0.101630211,0.018037558,0,0.004000425,0,0.957970744,,0.958333333,,0.958333333,,0.994791667,,0.127923045,,0.073610561,,0.086206691,,0.966583124,0.966666667,0.966666667,0.993333333,0.126008525,0.074297198,0.072680266
sklearn,iris,17,uniform,euclidean,0.101630211,0.023568869,0.001002073,0.003999233,0,0.924023709,,0.925,,0.925,,0.9921875,,0.18597884,,0.109976932,,0.087745098,,0.966583124,0.966666667,0.966666667,0.993333333,0.161679218,0.089273356,0.090196078
sklearn,iris,17,uniform,manhattan,0.101630211,0.024181366,0,0.004011631,0,0.932125172,,0.933333333,,0.933333333,,0.994791667,,0.162231438,,0.09538639,,0.095098039,,0.966583124,0.966666667,0.966666667,0.99,0.153599405,0.083967705,0.121568627
sklearn,iris,17,distance,euclidean,0.101630211,0.019042969,0.001000643,0.002999783,0,0.966535948,,0.966666667,,0.966666667,,0.99375,,0.154779614,,0.088504574,,0.094031676,,0.966583124,0.966666667,0.966666667,1,0.13883826,0.074363725,0.076700281
sklearn,iris,17,distance,manhattan,0.101630211,0.018037319,0,0.003000021,0,0.94967009,,0.95,,0.95,,0.994791667,,0.135764835,,0.077791105,,0.08801565,,0.966583124,0.966666667,0.966666667,0.993333333,0.132509781,0.072704479,0.079881299
sklearn,iris,19,uniform,euclidean,0.101630211,0.023552895,0,0.005006075,0,0.915526977,,0.916666667,,0.916666667,,0.990104167,,0.204127606,,0.119113573,,0.114035088,,0.966583124,0.966666667,0.966666667,0.993333333,0.175465444,0.09787627,0.101754386
sklearn,iris,19,uniform,manhattan,0.101630211,0.028311729,0,0.004994154,0,0.932059813,,0.933333333,,0.933333333,,0.9953125,,0.169987017,,0.097368421,,0.100438596,,0.966583124,0.966666667,0.966666667,0.99,0.174630171,0.095844875,0.114035088
sklearn,iris,19,distance,euclidean,0.101630211,0.018125772,0,0.003521442,0,0.966535948,,0.966666667,,0.966666667,,0.99375,,0.166268644,,0.093298733,,0.09252033,,0.966583124,0.966666667,0.966666667,1,0.148796338,0.07962668,0.085084874
sklearn,iris,19,distance,manhattan,0.101630211,0.018031836,0.001000404,0.00300622,0,0.957970744,,0.958333333,,0.958333333,,0.994791667,,0.138769444,,0.077066284,,0.093375166,,0.966583124,0.966666667,0.966666667,0.993333333,0.148045595,0.081009977,0.078068395
sklearn,iris,21,uniform,euclidean,0.101630211,0.024040937,0,0.004516363,0,0.915526977,,0.916666667,,0.916666667,,0.9890625,,0.222417334,,0.129402872,,0.107142857,,0.966583124,0.966666667,0.966666667,0.99,0.198295978,0.112471655,0.134920635
sklearn,iris,21,uniform,manhattan,0.101630211,0.024111986,0,0.004595041,0,0.932059813,,0.933333333,,0.933333333,,0.991145833,,0.187149782,,0.106575964,,0.104761905,,0.899749373,0.9,0.9,0.99,0.189813866,0.110204082,0.087301587
sklearn,iris,21,distance,euclidean,0.101630211,0.022521019,0.001020193,0.002990484,0,0.957970744,,0.958333333,,0.958333333,,0.994791667,,0.177143071,,0.098043379,,0.104704011,,0.966583124,0.966666667,0.966666667,0.996666667,0.165495241,0.089740249,0.095424507
