"metric","statistic","p_value"
"f1",0.0107,0.34375
"recall",0.0105315,0.21875
"sensitivity",0.0105315,0.21875
"roc_auc",0.00432959999999998,0.0625
"cross_entropy",0.0405631666666667,0.1875
"brier",0.003769,0.40625
"ece",0.00293366666666667,0.46875
