dataset,n_neighbours,weights,distance_metric,dataset_load_time_s,cv_time_s,fit_time_s,test_time_s,fit_ram_mb,cv_macro_f1,cv_macro_recall,cv_macro_sensitivity,cv_macro_roc_auc,cv_cross_entropy,cv_brier,cv_ece,test_macro_f1,test_macro_recall,test_macro_sensitivity,test_macro_roc_auc,test_cross_entropy,test_brier,test_ece
C:\Users\kolia\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\Scripts\LZSCC.461 Test\tests\data\zoo.csv,3,uniform,euclidean,0.00766440000734292,0.025958200014429167,0.0001700999855529517,0.0019804000039584935,0.00390625,0.7730158730150678,0.7999999999995551,0.7999999999995551,,1.3188998976638424,0.1619047619047619,0.10476190476190794,0.9365079365070569,0.9285714285710603,0.9285714285710603,0.9975369458128078,0.09703725140374879,0.05734767025088889,0.032258064516114696
C:\Users\kolia\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\Scripts\LZSCC.461 Test\tests\data\zoo.csv,3,uniform,manhattan,0.00766440000734292,0.044223399978363886,0.00027520000003278255,0.00433219998376444,0.0,0.806349206348351,0.833333333332855,0.833333333332855,,1.3089977950844358,0.15238095238095237,0.09047619047619365,0.9365079365070569,0.9285714285710603,0.9285714285710603,1.0,0.04851862570137973,0.035842293906810034,0.010752688172043008
C:\Users\kolia\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\Scripts\LZSCC.461 Test\tests\data\zoo.csv,3,distance,euclidean,0.00766440000734292,0.03166429998236708,0.00015060001169331372,0.0020383999799378216,0.0,0.8091269841261439,0.8333333333328744,0.8333333333328744,,1.2576612959050915,0.11620245095365322,0.06778174038543172,0.9365079365070569,0.9285714285710603,0.9285714285710603,1.0,0.08211630356955954,0.04629975408788581,0.047488855283960865
C:\Users\kolia\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\Scripts\LZSCC.461 Test\tests\data\zoo.csv,3,distance,manhattan,0.00766440000734292,0.026432999991811812,0.00016220001270994544,0.003139599983114749,0.0,0.8574603174594186,0.8833333333328355,0.8833333333328355,,1.2444083151398437,0.1055729768885317,0.05509427616582117,0.9365079365070569,0.9285714285710603,0.9285714285710603,1.0,0.042351423027931406,0.030659057259347207,0.028538445558952477
C:\Users\kolia\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\Scripts\LZSCC.461 Test\tests\data\zoo.csv,5,uniform,euclidean,0.00766440000734292,0.024276499985717237,0.00030009998590685427,0.0021386999869719148,0.0,0.7196825396817962,0.7666666666662328,0.7666666666662328,,1.0374045946120527,0.2080000000000016,0.10571428571428913,0.9365079365070569,0.9285714285710603,0.9285714285710603,1.0,0.1419074871786146,0.0851612903225662,0.05806451612902451
C:\Users\kolia\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\Scripts\LZSCC.461 Test\tests\data\zoo.csv,5,uniform,manhattan,0.00766440000734292,0.03976439998950809,0.000471699982881546,0.004177800001343712,0.0,0.7780158730150484,0.8166666666661939,0.8166666666661939,,1.0217101333454044,0.19885714285713782,0.09428571428570913,0.9365079365070569,0.9285714285710603,0.9285714285710603,0.9987684729064039,0.11954790070898891,0.07483870967741214,0.03870967741935097
C:\Users\kolia\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\Scripts\LZSCC.461 Test\tests\data\zoo.csv,5,distance,euclidean,0.00766440000734292,0.05607830002554692,0.0002638000005390495,0.00448919998598285,0.0,0.8091269841261439,0.8333333333328744,0.8333333333328744,,0.9227996373032102,0.12091385715343891,0.06833211738888792,0.9365079365070569,0.9285714285710603,0.9285714285710603,1.0,0.11299551519660458,0.06472205764626719,0.036867417522290315
C:\Users\kolia\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\Scripts\LZSCC.461 Test\tests\data\zoo.csv,5,distance,manhattan,0.00766440000734292,0.05170619999989867,0.0002707999956328422,0.004476499976590276,0.0,0.8574603174594186,0.8833333333328355,0.8833333333328355,,0.9008575537342592,0.10626736869683831,0.07623370796796672,0.9365079365070569,0.9285714285710603,0.9285714285710603,1.0,0.08416395526330239,0.052843602969525456,0.0395589026517397
C:\Users\kolia\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\Scripts\LZSCC.461 Test\tests\data\zoo.csv,7,uniform,euclidean,0.00766440000734292,0.04649609999614768,0.0002829000004567206,0.0038465000106953084,0.0,0.735978835978077,0.7599999999995897,0.7599999999995897,,0.7258378753521473,0.21749271137025375,0.13061224489795772,0.9365079365070569,0.9285714285710603,0.9285714285710603,0.9963054187192117,0.19329992602695797,0.11191573403554973,0.08294930875576037
C:\Users\kolia\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\Scripts\LZSCC.461 Test\tests\data\zoo.csv,7,uniform,manhattan,0.00766440000734292,0.03791819998878054,0.00022570000146515667,0.003653799998573959,0.0,0.6837566137559269,0.7266666666662897,0.7266666666662897,,1.0770735707552401,0.22274052478133094,0.12857142857142417,0.9365079365070569,0.9285714285710603,0.9285714285710603,0.9975369458128078,0.18153724494346174,0.10401579986832804,0.10599078341013497
