"metric","statistic","p_value"
"macro_f1",-0.000157644785368671,0.9972
"macro_recall",-0.000164409532601348,0.99846
"macro_sensitivity",-0.000164409532601348,0.99846
"macro_roc_auc",3.05163158641486e-06,0
"cross_entropy",-7.43698523064333e-05,0.85558
"brier",-0.000126872763231807,0.99434
"ece",0.000122925049413779,0.01072
